@relation DIALOG_UTTERANCES
@attribute DOC_TEXT string
@attribute HAS_QUESTION_MARK {true, false}
@attribute HAS_AFFIRMATIVE {true, false}
@attribute HAS_NEGATIVE {true, false}
@attribute STARTING_POS {CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, LS, MD, NN, NNS, NNP, NNPS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, X}
@attribute ACT_TAG {statement, question, yes, no, other}
@data
"sorry dont drink",false,false,false,X,statement
"its k",false,false,false,PRP$,statement
"is a smoker",false,false,false,EX,statement
"me too",false,false,false,PRP,statement
"trying to quit",false,false,false,VBG,statement
"USERNAME...what's your preference?",true,false,false,CD,question
"always 4.20 at my house",false,false,false,X,statement
"ya",false,true,false,PRP,yes
"i like mine shook over ice",false,false,false,PRP,statement
"why so mad USERNAME",false,false,false,WRB,question
"cali farmer",false,false,false,X,statement
"hmmmmmmm",false,false,false,X,statement
"harvest good this year",false,false,false,VB,statement
"brb",false,false,false,NN,other
"whoa",false,false,false,NN,statement
"hb USERNAME",false,false,false,NN,other
"i have teenagers",false,false,false,PRP,statement
"finally USERNAME",false,false,false,RB,statement
"ha i have one",false,false,false,UH,statement
"i have 2",false,false,false,PRP,statement
"what's the latest?",true,false,false,WP,question
"that is ruff",false,false,false,DT,statement
"so what are we talkin' about tonight?",true,false,false,IN,question
"you're choice USERNAME",false,false,false,PRP,statement
"mango martinis and teens",false,false,false,NN,statement
"hell no, u?",true,false,true,NN,no
"sex, drugs and rock n roll",false,false,false,NN,statement
"with an answer like that...nope....lol",false,false,true,IN,statement
"maybe not the drugs",false,false,true,RB,statement
"or the rock and roll....definitley the sex....lol",false,false,false,CC,statement
"yeppers",false,true,false,NNS,yes
"ya drugs r bad",false,true,false,JJR,statement
"i sing for the ladies",false,false,false,PRP,statement
"no mame",false,false,true,DT,no
"nada again USERNAME, u?",true,false,false,NN,no
"cali guy here",false,false,false,X,statement
"mikeeeeeeeeeeeeeeeeeeeeeeeeee",false,false,false,NN,other
"ok",false,false,false,UH,yes
"see my nic",false,false,false,VB,statement
"little boy",false,false,false,JJ,statement
"ya ",false,true,false,PRP,statement
"that's cool... kids are cool",false,false,false,DT,yes
"welcome USERNAME",false,false,false,JJ,other
"adults are cooler.....lol",false,false,false,NNS,statement
"i chatted with someone recently from texas who said yeppers alot",false,true,false,PRP,statement
"hi",false,false,false,UH,other
"yea my 18 year old plays in my band",false,false,false,IN,statement
"hi all",false,false,false,UH,other
"hi USERNAME",false,false,false,JJ,other
"hey u550436035",false,false,false,UH,other
"i c",false,false,false,PRP,statement
"hi all ",false,false,false,UH,other
"hey USERNAME hun",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"yea its pretty cool",false,false,false,IN,yes
"nice to see you here",false,false,false,JJ,statement
"hey everyone",false,false,false,UH,other
"so how do you unwind USERNAME?",true,false,false,IN,question
"hi ",false,false,false,UH,other
"i'm doin' it now USERNAME",false,false,true,PRP,statement
"the hair would suggest you party hard.....lol",false,false,false,DT,statement
"what type of music does your band play",false,false,false,WDT,question
"yep",false,true,false,UH,yes
"yeah I'm ready to party",false,true,false,UH,statement
"hey USERNAME?",true,false,false,JJ,question
"she's doin it....lol",false,false,false,PRP,statement
"not a loaded quistion",false,false,true,RB,statement
"USERNAME",false,false,false,CD,other
"what USERNAME",false,false,false,WP,question
"hi USERNAME",false,false,false,JJ,other
"gentlemen...lets be nce...there are ladies in the room....",false,false,false,NNS,statement
"I meant nothing by my comments",false,false,true,PRP,statement
"how are you USERNAME",false,false,false,WRB,question
"no kidding if we be dumb asses they wont chat with ya",false,true,true,DT,statement
"ok i guess",false,false,false,UH,statement
"go figure",false,false,false,VB,statement
"Finally someone figured out women...thanks USERNAME",false,false,false,RB,other
"tries to watch his manners",false,false,false,X,statement
"no problem",false,false,true,DT,statement
"what one word can do for some people...easy there USERNAME...lol",false,false,false,WP,statement
"USERNAME",false,false,false,CD,other
"USERNAME",false,false,false,CD,other
"USERNAME",false,false,false,CD,other
"whats up ",false,false,false,WP,question
"USERNAME",false,false,false,CD,other
"no",false,false,true,DT,no
"bye",false,false,false,UH,other
"me too........USERNAME",false,false,false,PRP,statement
"lets play naked twister",false,false,false,VBZ,statement
"cyber twister... how novel",false,false,true,JJ,statement
"ty USERNAME hun",false,false,false,IN,statement
"USERNAME all around",false,false,false,CD,statement
"no cheating now",false,false,true,DT,statement
"USERNAME if I were you I would ask for a better nickname",false,false,false,CD,statement
"hi USERNAME",false,false,false,JJ,other
"wrong damn button again lol ",false,false,false,JJ,statement
"bye USERNAME",false,false,false,CC,other
"hey USERNAME... out of the pm please",false,false,false,JJ,statement
"it is all good USERNAME call me what u like just not late for date or dinner lol ",false,false,true,PRP,statement
"USERNAME seems to know all the right buttons to push",false,false,true,CD,statement
"lose the fantasy USERNAME... lol",false,false,false,VB,statement
"i thought my name was shit head for a long time",false,false,false,PRP,statement
"lost it years ago...",false,false,false,VBD,statement
"did not see u there baby ",false,false,true,VBD,statement
"hey USERNAME... welcome",false,false,false,JJ,other
"Hi!!",false,false,false,UH,other
"What's happening?",true,false,false,WP,question
"why'd USERNAME leave?",true,false,false,JJ,question
"not sure",false,false,true,RB,statement
"passing around USERNAME",false,false,false,VBG,statement
"pissed at you i'm sure... lol",false,false,false,JJ,statement
"  hello ",false,false,false,X,other
"hey USERNAME",false,false,false,JJ,other
"how are ya ll ",false,true,false,WRB,question
"gotta watch my manners or she won't psh anymore buttons....lol",false,false,false,NN,statement
"hello everyone",false,false,false,UH,other
"yes....",false,true,false,UH,yes
"hey USERNAME",false,false,false,JJ,other
"oh you meant your other lover....lol",false,false,false,UH,statement
"lmao USERNAME... go figure you'd think that was about you",false,false,false,NN,statement
"yeah... cuz i have so many... lmao",false,true,false,UH,yes
"gotta try...so seriously it wasn't meant for me.....lol",false,false,false,NN,statement
"you keep passin' me around it's gotta stick sometime... lmao",false,false,false,PRP,statement
"with party hair like that....knockin down the door I bet",false,false,true,IN,statement
"no prob USERNAME....",false,false,true,DT,statement
"thanks  ",false,false,false,NNS,other
"sexy is just a bonus at this point in my life.....lol",false,false,false,JJ,statement
"just kidding.....",false,false,false,RB,statement
"antisexy",false,false,false,X,statement
"hey USERNAME... welcome to the crazy room... lol",false,false,false,JJ,other
"had a girlfriend with hair like you USERNAME",false,false,false,VBD,statement
"howdy",false,false,false,NN,other
"doody",false,false,false,NN,statement
"and what happened to her USERNAME?",true,false,false,CC,question
"as I said...too wild....even for me",false,false,false,IN,statement
"34 M Pa.",false,false,false,CD,statement
"canadain ladies pm me",false,false,false,JJ,statement
"hey USERNAME... i'm from CO",false,false,false,JJ,other
"a fellow canadian...woohoo!",false,false,false,DT,statement
"hey USERNAME... welcome",false,false,false,JJ,other
"cool ",false,false,false,JJ,statement
"USERNAME",false,false,false,CD,other
"hello USERNAME ",false,false,false,UH,other
"hey USERNAME",false,false,false,JJ,other
"USERNAME hugs",false,false,false,CD,other
"Hi USERNAME",false,false,false,UH,other
"yo USERNAME whats up ",false,false,false,CC,other
"Hi all ",false,false,false,UH,other
"yo USERNAME ",false,false,false,CC,other
"hey USERNAME welcome",false,false,false,JJ,other
"is who sexy?",true,false,false,VBZ,question
"cause we only accept none sexy people...except for USERNAME",false,false,true,IN,statement
"thank you USERNAME",false,false,false,VBP,other
"I think I'm sexy as hell",false,false,false,PRP,statement
"she's the exception",false,false,false,PRP,statement
"shut up USERNAME... everyone is sexy",false,false,false,VBD,statement
" sexy in the dark",false,false,false,X,statement
"i think i am too USERNAME  lol ",false,false,false,PRP,statement
"no USERNAME... don't leave",false,false,true,DT,no
"just kidding",false,false,false,RB,statement
"does not matter to me waht anyone else thinks about me  lol ",false,false,true,VBZ,statement
"hi ya USERNAME",false,true,false,NN,other
"hey USERNAME... welcome",false,false,false,JJ,other
"you passed the test",false,false,false,PRP,statement
"Hi USERNAME...",false,false,false,UH,other
"hi USERNAME!",false,false,false,JJ,other
"Hi USERNAME...",false,false,false,UH,other
"hi room",false,false,false,UH,other
"hey USERNAME... welcome",false,false,false,JJ,other
"hi ladies",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"hey USERNAME... welcome",false,false,false,JJ,other
"well, if that's what I needed to pass, I get a freaking A",false,false,false,UH,statement
"hi",false,false,false,UH,other
"I lived in PA once ",false,false,false,PRP,statement
"I've been to PA",false,false,false,PRP,statement
"no",false,false,true,DT,no
